Top,Time,ProcessId,Name,Cpu(%),Memory(KB),HandleCount
3,2014-4-1 9:16:06,6364,chrome,1.171875,141240,134
4,2014-4-1 9:16:06,1384,avguard,0.78125,176512,207
5,2014-4-1 9:16:06,6768,QQPYCloud,0.390625,8848,216
1,2014-4-1 9:16:08,5884,chrome,2.734375,86756,971
2,2014-4-1 9:16:08,4,System,0.390625,52,1238
3,2014-4-1 9:16:08,1704,svchost,0,6052,175
4,2014-4-1 9:16:08,2092,hasplms,0,24284,174
5,2014-4-1 9:16:08,1116,vntldr,0,956,38
1,2014-4-1 9:16:10,5884,chrome,1.171875,86756,966
2,2014-4-1 9:16:10,4696,chrome,0.390625,77804,120
3,2014-4-1 9:16:10,4,System,0.390625,52,1234
4,2014-4-1 9:16:10,1704,svchost,0,6052,175
5,2014-4-1 9:16:10,2092,hasplms,0,24284,174
1,2014-4-1 9:16:12,5884,chrome,23.828125,86756,966
2,2014-4-1 9:16:12,6364,chrome,1.171875,139840,134
3,2014-4-1 9:16:12,2100,chrome,0,86052,123
4,2014-4-1 9:16:12,1704,svchost,0,6052,175
5,2014-4-1 9:16:12,2092,hasplms,0,24284,174
1,2014-4-1 9:16:14,5884,chrome,1.953125,87904,975
2,2014-4-1 9:16:14,6364,chrome,1.171875,135356,129
3,2014-4-1 9:16:14,2100,chrome,0,80580,108
4,2014-4-1 9:16:14,1704,svchost,0,6052,175
5,2014-4-1 9:16:14,2092,hasplms,0,24284,174
1,2014-4-1 9:16:16,5884,chrome,1.5625,87904,966
2,2014-4-1 9:16:16,4132,devenv,0.390625,234464,1089
3,2014-4-1 9:16:16,2100,chrome,0,80580,108
4,2014-4-1 9:16:16,1704,svchost,0,6052,175
5,2014-4-1 9:16:16,2092,hasplms,0,24284,174
1,2014-4-1 9:16:18,6364,chrome,2.734375,135356,129
2,2014-4-1 9:16:18,5884,chrome,1.5625,87824,976
3,2014-4-1 9:16:18,2100,chrome,0,80580,108
4,2014-4-1 9:16:18,1704,svchost,0,6052,175
5,2014-4-1 9:16:18,2092,hasplms,0,24284,174
1,2014-4-1 9:16:20,5884,chrome,2.734375,87988,1000
2,2014-4-1 9:16:20,6364,chrome,1.171875,138932,130
3,2014-4-1 9:16:20,1168,AlipaySecSvc,0.390625,9516,350
4,2014-4-1 9:16:20,4,System,0.390625,52,1242
5,2014-4-1 9:16:20,2100,chrome,0,80580,108
1,2014-4-1 9:16:22,6364,chrome,14.0625,135444,130
2,2014-4-1 9:16:22,5884,chrome,5.859375,88012,1000
3,2014-4-1 9:16:22,2364,jqs,0.78125,7940,206
4,2014-4-1 9:16:22,4,System,0.78125,52,1242
5,2014-4-1 9:16:22,1932,explorer,0.390625,33616,619
1,2014-4-1 9:16:24,6364,chrome,17.96875,140132,132
2,2014-4-1 9:16:24,5884,chrome,10.15625,88088,983
3,2014-4-1 9:16:24,8184,CpuTop5,0.390625,14188,93
4,2014-4-1 9:16:24,2100,chrome,0.390625,80608,117
5,2014-4-1 9:16:24,4132,devenv,0.390625,234464,1089
1,2014-4-1 9:16:26,6364,chrome,2.34375,136676,131
2,2014-4-1 9:16:26,5884,chrome,1.5625,90668,977
3,2014-4-1 9:16:26,2760,wandoujia2,0.78125,119380,418
4,2014-4-1 9:16:26,8184,CpuTop5,0.390625,14316,93
5,2014-4-1 9:16:26,1704,svchost,0,6052,175
1,2014-4-1 9:16:28,6364,chrome,1.953125,136692,131
2,2014-4-1 9:16:28,1212,wandoujia_helper,0.78125,167908,374
3,2014-4-1 9:16:28,796,services,0.78125,5388,439
4,2014-4-1 9:16:28,724,csrss,0,2324,879
5,2014-4-1 9:16:28,1116,vntldr,0,956,38
1,2014-4-1 9:16:30,5884,chrome,1.171875,90692,959
2,2014-4-1 9:16:30,1212,wandoujia_helper,0.78125,167928,374
3,2014-4-1 9:16:30,796,services,0.390625,5388,439
4,2014-4-1 9:16:30,6364,chrome,0.390625,136536,131
5,2014-4-1 9:16:30,1168,AlipaySecSvc,0.390625,9584,350
1,2014-4-1 9:16:32,6364,chrome,6.640625,136544,131
2,2014-4-1 9:16:32,5884,chrome,3.90625,90772,966
3,2014-4-1 9:16:32,796,services,1.5625,5388,439
4,2014-4-1 9:16:32,2100,chrome,0.390625,80608,117
5,2014-4-1 9:16:32,4696,chrome,0.390625,77816,120
1,2014-4-1 9:16:34,5884,chrome,23.828125,88224,950
2,2014-4-1 9:16:34,6364,chrome,5.859375,136680,133
3,2014-4-1 9:16:34,796,services,1.5625,5388,439
4,2014-4-1 9:16:34,1704,svchost,0,6052,175
5,2014-4-1 9:16:34,2100,chrome,0,82360,119
1,2014-4-1 9:16:36,796,services,1.5625,5388,439
2,2014-4-1 9:16:36,5884,chrome,1.5625,89288,975
3,2014-4-1 9:16:36,1168,AlipaySecSvc,0.390625,9584,350
4,2014-4-1 9:16:36,2100,chrome,0,80592,108
5,2014-4-1 9:16:36,2092,hasplms,0,24284,174
1,2014-4-1 9:16:38,5884,chrome,7.8125,89288,964
2,2014-4-1 9:16:38,6364,chrome,5.46875,134720,130
3,2014-4-1 9:16:38,1384,avguard,3.90625,176400,207
4,2014-4-1 9:16:38,808,lsass,2.34375,7936,416
5,2014-4-1 9:16:38,4,System,2.34375,52,1236
1,2014-4-1 9:16:40,796,services,1.5625,5388,439
2,2014-4-1 9:16:40,5884,chrome,1.5625,89380,970
3,2014-4-1 9:16:40,2100,chrome,0,80592,108
